id,date,time,daily_open,daily_high,daily_low,daily_close,daily_volume,spread,prev_day_signal,prev_day_return,daily_high_max_30d,daily_high_min_30d,daily_low_max_30d,daily_low_min_30d,daily_high_max_100d,daily_high_min_100d,daily_low_max_100d,daily_low_min_100d,momentum_10d,trend_slope_30d,high_10d,low_10d,distance_from_high_10d,distance_from_low_10d,high_20d,low_20d,distance_from_high_20d,distance_from_low_20d,high_30d,low_30d,distance_from_high_30d,distance_from_low_30d,high_50d,low_50d,distance_from_high_50d,distance_from_low_50d,high_100d,low_100d,distance_from_high_100d,distance_from_low_100d,pivot_point,fib_23_6,consecutive_bull_days,consecutive_bear_days,reversal_prob_3d,pascal_reversal_signal,z_score_10d,bb_upper,bb_lower,bb_position,atr_14,volatility_regime,holloway_bull_count_max_10d,daily_direction,day_outcome_lag1,day_outcome_lag2,day_outcome_lag3,day_outcome_lag4,day_outcome_lag5,day_outcome_lag6,day_outcome_lag7,day_outcome_lag8,day_outcome_lag9,day_outcome_lag10
11,2000-01-17,00:00:00,1.0129,1.0148,1.0069,1.0119,0,50,,-0.013546437969008895,,,,,,,,,-0.012395081007222308,,1.0415,1.0069,-0.028420547287566076,0.0049657364187110095,,,,,,,,,,,,,,,,,1.0111999999999999,1.0129355999999998,0,4,0,0,-1.7989311304786066,,,,,,4.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,
12,2000-01-18,00:00:00,1.0118,1.0154,1.0072,1.0152,0,50,,-0.0009872642906505469,,,,,,,,,-0.013602798289933715,,1.0415,1.0069,-0.02525204032645222,0.008243122455060281,,,,,,,,,,,,,,,,,1.0126000000000002,1.0134648000000002,1,0,1,1,-1.125694068774359,,,,,,4.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
13,2000-01-19,00:00:00,1.0152,1.0165,1.0085,1.0125,0,50,,0.003360347894840965,,,,,,,,,-0.019465427077280606,,1.0415,1.0069,-0.02784445511281818,0.005561624788956252,,,,,,,,,,,,,,,,,1.0125,1.0146119999999998,0,1,0,0,-1.1561097062251067,,,,,,4.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0
14,2000-01-20,00:00:00,1.0126,1.0188,1.0073,1.0167,0,50,,-0.0026595744680852906,,,,,,,,,-0.01577928363988379,,1.037,1.0069,-0.019575699132111848,0.009732843380673385,,,,,,,,,,,,,,,,,1.0142666666666666,1.016086,1,0,0,0,-0.5476541525914819,,,,0.011271428571428568,high,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
15,2000-01-21,00:00:00,1.0168,1.0193,1.005,1.0087,0,50,,0.004048982816512003,,,,,,,,,-0.020489415420470114,,1.037,1.005,-0.02729026036644165,0.003681592039801032,,,,,,,,,,,,,,,,,1.0110000000000001,1.0159252,0,1,0,0,-1.1963047057970355,,,,0.010692857142857155,normal,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
16,2000-01-24,00:00:00,1.0028,1.0077,0.9997,1.0071,0,50,,-0.007966168371361104,,,,,,,,,-0.017559262510974394,,1.037,0.9997,-0.028833172613307444,0.007402220666199933,,,,,,,,,,,,,,,,,1.0048333333333332,1.005812,1,0,0,0,-1.1108439215379513,,,,0.010428571428571438,normal,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
17,2000-01-25,00:00:00,1.007,1.0096,0.9992,1.0012,0,50,,0.004287993617870134,,,,,,,,,-0.03134674922600622,,1.037,0.9992,-0.03452266152362569,0.002001601281024933,,,,,,,,,,,,,,,,,1.0033333333333332,1.0071456,0,1,0,0,-1.4947733681607582,,,,0.01032857142857144,normal,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
18,2000-01-26,00:00:00,1.0012,1.0055,0.9995,1.0003,0,50,,-0.005759682224428797,,,,,,,,,-0.02958866899495538,,1.0316,0.9992,-0.030341217526173036,0.0011008807045636408,,,,,,,,,,,,,,,,,1.0017666666666667,1.004084,0,2,0,0,-1.444847429889107,,,,0.009735714285714283,normal,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
19,2000-01-27,00:00:00,1.0007,1.003,0.9868,0.9882,0,50,,-0.0008989212944467972,,,,,,,,,-0.0368421052631579,,1.0275,0.9868,-0.03824817518248186,0.0014187271990271147,,,,,,,,,,,,,,,,,0.9926666666666666,0.9991767999999999,0,3,0,0,-2.215548237716512,,,,0.010378571428571428,normal,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
20,2000-01-28,00:00:00,0.9883,0.9895,0.9736,0.9749,0,50,,-0.012491256120715444,,,,,,,,,-0.03685042481722978,,1.0193,0.9736,-0.043559305405670656,0.0013352506162694821,1.0415,0.9736,-0.06394623139702361,0.0013352506162694821,,,,,,,,,,,,,0.9793333333333334,0.9857476000000001,0,4,0,0,-2.178280910043329,1.0475265795899489,0.9838334204100514,-1.2805142418608961,0.010842857142857138,normal,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
21,2000-01-31,00:00:00,0.9773,0.9829,0.9667,0.9711,0,50,,-0.013558636041687722,,,,,,,,,-0.04032018974206941,,1.0193,0.9667,-0.04728735406651636,0.004551567187338326,1.0415,0.9667,-0.06759481517042738,0.004551567187338326,,,,,,,,,,,,,0.9735666666666667,0.9790768,0,5,0,0,-1.7458900766598189,1.050230258826996,0.9757797411730043,-1.1257141036692124,0.011321428571428562,high,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
22,2000-02-01,00:00:00,0.9711,0.9782,0.9667,0.9713,0,50,,-0.006344009004399909,,,,,,,,,-0.04324271079590236,,1.0193,0.9667,-0.047091140979103344,0.0047584566049447075,1.0415,0.9667,-0.06740278444551132,0.0047584566049447075,,,,,,,,,,,,,0.9720666666666666,0.975486,1,0,1,1,-1.3646575487517136,1.0508700888382896,0.9693499111617105,-0.9521568807618869,0.011364285714285707,high,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
23,2000-02-02,00:00:00,0.9713,0.9808,0.9694,0.9765,0,50,,0.00020595201318096557,,,,,,,,,-0.03555555555555545,,1.0193,0.9667,-0.04198960070636717,0.010137581462708215,1.0415,0.9667,-0.06240998559769568,0.010137581462708215,,,,,,,,,,,,,0.9755666666666668,0.9781096,2,0,0,0,-0.874830373541242,1.049252459618206,0.9653575403817938,-0.7343710333356815,0.011614285714285704,high,2.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
24,2000-02-03,00:00:00,0.9767,0.9947,0.971,0.9898,0,50,,0.005353649747760647,,,,,,,,,-0.026458148913150348,,1.0193,0.9667,-0.028941430393407318,0.02389572773352644,1.037,0.9667,-0.04551591128254572,0.02389572773352644,,,,,,,,,,,,,0.9851666666666666,0.9891068000000001,3,0,0,0,0.05997064243490332,1.0459550335959829,0.9643349664040174,-0.37601046291469414,0.01215714285714285,high,3.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
25,2000-02-04,00:00:00,0.99,0.994,0.9747,0.984,0,50,,0.0134125115183783,,,,,,,,,-0.024486963418261065,,1.0096,0.9667,-0.02535657686212368,0.017895934622944018,1.037,0.9667,-0.05110896817743485,0.017895934622944018,,,,,,,,,,,,,0.9842333333333334,0.9894452,0,1,1,1,-0.18571000081949895,1.042974005864788,0.9627359941352115,-0.4699767385455524,0.012971428571428563,high,3.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,2000-02-07,00:00:00,0.9832,0.9832,0.9754,0.9809,0,50,,-0.0060606060606061,,,,,,,,,-0.026015291430841136,,1.0096,0.9667,-0.02842709984152145,0.01468914865004654,1.037,0.9667,-0.054098360655737636,0.01468914865004654,,,,,,,,,,,,,0.9798333333333334,0.9813592,0,2,0,0,-0.2654720737736714,1.0404730237230544,0.9608169762769457,-0.4957564463037681,0.012999999999999987,high,3.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,2000-02-08,00:00:00,0.981,0.9914,0.9786,0.9859,0,50,,-0.0023393002441008948,,,,,,,,,-0.015281662005593333,,1.0055,0.9667,-0.01949278965688718,0.01986138409020378,1.037,0.9667,-0.04927675988428151,0.01986138409020378,,,,,,,,,,,,,0.9853,0.9883792,1,0,0,0,0.3908679793211815,1.035401005853227,0.9611189941467734,-0.3327858086573738,0.013342857142857125,high,3.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,2000-02-09,00:00:00,0.986,0.9971,0.9856,0.9934,0,50,,0.004994903160040698,,,,,,,,,-0.006897930620813786,,1.003,0.9667,-0.009571286141575217,0.027619737250439584,1.0316,0.9667,-0.03702985653354025,0.027619737250439584,,,,,,,,,,,,,0.9920333333333332,0.994386,2,0,0,0,1.4932321150637409,1.0302542429026307,0.9625257570973694,-0.08829371795801082,0.013342857142857132,high,3.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
29,2000-02-10,00:00:00,0.9934,0.9962,0.9831,0.9852,0,50,,0.007505070993914842,,,,,,,,,-0.0030358227079538835,,0.9971,0.9667,-0.011934610370073234,0.019137271128581733,1.0275,0.9667,-0.04116788321167894,0.019137271128581733,,,,,,,,,,,,,0.9881666666666665,0.9931084,0,1,0,0,0.5079663279025695,1.0255116160651114,0.9631883839348884,-0.2936304615027249,0.013257142857142832,high,3.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
30,2000-02-11,00:00:00,0.9853,0.9886,0.9786,0.9884,0,50,,-0.008254479565129813,1.0415,0.9782,1.0284,0.9667,,,,,0.013847574110165128,-0.00210507230255843,0.9971,0.9667,-0.008725303379801465,0.022447501810282343,1.0193,0.9667,-0.0303149220052979,0.022447501810282343,1.0415,0.9667,-0.050984157465194566,0.022447501810282343,,,,,,,,,0.9852,0.98624,1,0,0,0,0.755196371198044,1.0232508379131542,0.9630691620868456,-0.15818768010216996,0.013328571428571412,high,3.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
31,2000-02-14,00:00:00,0.9877,0.9916,0.9776,0.9785,0,50,,0.003146249873135165,1.0415,0.9782,1.0284,0.9667,,,,,0.007620224487694394,-0.002136462736373773,0.9971,0.9667,-0.018654096880954717,0.01220647563877111,1.0193,0.9667,-0.040027469832237865,0.01220647563877111,1.0415,0.9667,-0.060489678348535816,0.01220647563877111,,,,,,,,,0.9825666666666667,0.9882960000000001,0,1,0,0,-0.7334183017395558,1.0209013404551435,0.9620786595448567,-0.44166635581079294,0.013585714285714265,high,3.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
32,2000-02-15,00:00:00,0.9781,0.9862,0.9763,0.9813,0,50,,-0.00931456920117446,1.0415,0.9782,1.0284,0.9667,,,,,0.010295480284155056,-0.0020975528364849975,0.9971,0.9694,-0.01584595326446699,0.0122756344130389,1.0193,0.9667,-0.037280486608456925,0.015102927485259073,1.0415,0.9667,-0.05780124819971209,0.015102927485259073,,,,,,,,,0.9812666666666666,0.9838636,1,0,0,0,-0.5883027951132935,1.0172984524148654,0.9622915475851347,-0.3088703033710148,0.013864285714285694,high,3.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
33,2000-02-16,00:00:00,0.9815,0.9878,0.979,0.9863,0,50,,0.00327164911563238,1.0415,0.9782,1.0272,0.9667,,,,,0.010035842293906638,-0.0019816240266963404,0.9971,0.971,-0.010831411092167316,0.01575695159629246,1.0193,0.9667,-0.03237515942313366,0.020275162925416312,1.0415,0.9667,-0.05300048007681242,0.020275162925416312,,,,,,,,,0.9843666666666667,0.9857232,2,0,0,0,0.20790750149175505,1.0138474899159515,0.963122510084048,-0.08615084406498975,0.013335714285714275,high,3.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
34,2000-02-17,00:00:00,0.9862,0.9958,0.9837,0.988,0,50,,0.004890473764645797,1.037,0.9782,1.0261,0.9667,,,,,-0.0018185492018589766,-0.0018313681868743217,0.9971,0.9747,-0.009126466753585395,0.01364522417153994,1.0193,0.9667,-0.030707348180123713,0.02203372297506981,1.037,0.9667,-0.04725168756026995,0.02203372297506981,,,,,,,,,0.9891666666666667,0.9929444000000001,3,0,0,0,0.6522371531434181,1.0086610595468328,0.9654389404531675,0.04395897174694719,0.013064285714285704,high,3.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
35,2000-02-18,00:00:00,0.9881,0.9902,0.9809,0.9845,0,50,,0.0018251875887245195,1.037,0.9782,1.0261,0.9667,,,,,0.000508130081300795,-0.0017057397107898065,0.9971,0.9754,-0.01263664627419511,0.009329505843756403,1.0096,0.9667,-0.02486133122028527,0.0184131581669598,1.037,0.9667,-0.05062680810028918,0.0184131581669598,,,,,,,,,0.9852,0.9880052,0,1,1,1,-0.17226179779859535,1.0049073487793554,0.9667726512206446,-0.07027720241702089,0.012571428571428558,high,3.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
36,2000-02-21,00:00:00,0.9854,0.9889,0.9843,0.9878,0,50,,-0.0036433559356340295,1.037,0.9782,1.0261,0.9667,,,,,0.007034356203486691,-0.001571078976640717,0.9971,0.9763,-0.009327048440477359,0.011779166239885348,1.0096,0.9667,-0.021592709984152178,0.021826833557463544,1.037,0.9667,-0.04744455159112817,0.021826833557463544,,,,,,,,,0.987,0.9878144,1,0,0,0,0.45952577547786544,1.0011629193204463,0.9685870806795536,0.17958093743424666,0.012078571428571423,high,3.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
37,2000-02-22,00:00:00,0.9878,1.0081,0.9874,1.0039,0,50,,0.0024355591637912344,1.037,0.9782,1.0261,0.9667,,,,,0.018257429759610533,-0.001257330367074552,1.0081,0.9763,-0.004166253347882136,0.02826999897572475,1.0081,0.9667,-0.004166253347882136,0.03848143167476985,1.037,0.9667,-0.03191899710703945,0.03848143167476985,,,,,,,,,0.9998,1.0032148,2,0,0,0,2.313777726924202,1.001901218521995,0.9681187814780049,1.11833251444055,0.012742857142857136,high,3.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
38,2000-02-23,00:00:00,1.0038,1.0089,1.0011,1.0036,0,50,,0.01629884592022668,1.0316,0.9782,1.0237,0.9667,,,,,0.010267767263942185,-0.0009516129032258306,1.0089,0.9763,-0.005253246109624205,0.027962716378162555,1.0089,0.9667,-0.005253246109624205,0.03817109754836045,1.0316,0.9667,-0.02714230321830169,0.03817109754836045,,,,,,,,,1.0045333333333333,1.0070592,0,1,0,0,1.74892216902469,1.0027458939951661,0.9676041060048336,1.0486090779706343,0.011607142857142832,high,3.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
39,2000-02-24,00:00:00,1.0035,1.0042,0.9888,0.9911,0,50,,-0.000199242877067074,1.0275,0.9782,1.0114,0.9667,,,,,0.005988631749898499,-0.0007475417130144928,1.0089,0.9763,-0.017642977500247722,0.01515927481306979,1.0089,0.9667,-0.017642977500247722,0.025240508947967286,1.0275,0.9667,-0.035425790754258,0.025240508947967286,,,,,,,,,0.9946999999999999,1.0005656,0,2,0,0,0.20898739277895192,1.0030432051277387,0.9675967948722616,0.32612609469985465,0.011328571428571401,high,3.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
40,2000-02-25,00:00:00,0.9914,0.993,0.9722,0.9746,0,50,,-0.01235675137020431,1.0193,0.9782,1.0085,0.9667,,,,,-0.013961958721165457,-0.0007295661846496275,1.0089,0.9722,-0.03399742293587064,0.0024686278543510276,1.0089,0.9667,-0.03399742293587064,0.008172131995448452,1.0193,0.9667,-0.04385362503679002,0.008172131995448452,,,,,,,,,0.9799333333333333,0.9880912,0,3,0,0,-1.3864908829452884,1.0030658054582615,0.9675441945417385,-0.602731639757297,0.01219999999999998,high,3.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
41,2000-02-28,00:00:00,0.9728,0.9733,0.9401,0.9708,0,50,,-0.01694573330643523,1.0193,0.9733,1.0085,0.9401,,,,,-0.007869187531936661,-0.000721446051167974,1.0089,0.9401,-0.0377639012786202,0.032656100414849426,1.0089,0.9401,-0.0377639012786202,0.032656100414849426,1.0193,0.9401,-0.047581673697635725,0.032656100414849426,,,,,,,,,0.9614000000000001,0.9654648,0,4,0,0,-1.528604915383314,1.0031017524773866,0.9674782475226135,-0.8135077783552425,0.013749999999999984,high,3.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
42,2000-02-29,00:00:00,0.9707,0.9872,0.9622,0.9635,0,50,,-0.0020559210526315264,1.0193,0.9733,1.0085,0.9401,,,,,-0.018139203097931267,-0.0007193770856507391,1.0089,0.9401,-0.04499950441074427,0.02489096904584616,1.0089,0.9401,-0.04499950441074427,0.02489096904584616,1.0193,0.9401,-0.05474345138820766,0.02489096904584616,,,,,,,,,0.9709666666666666,0.9813,0,5,0,0,-1.6806788743035284,1.004274535648083,0.9655254643519169,-1.1045425440983276,0.014714285714285695,high,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0
43,2000-03-01,00:00:00,0.9635,0.9767,0.9626,0.9727,0,50,,-0.007417327701658594,1.0193,0.9733,1.0073,0.9401,,,,,-0.013788908040149983,-0.0006535706340378457,1.0089,0.9401,-0.035880662107245415,0.034677162004042084,1.0089,0.9401,-0.035880662107245415,0.034677162004042084,1.0193,0.9401,-0.04571764936721287,0.034677162004042084,,,,,,,,,0.9706666666666667,0.9733724,1,0,1,1,-0.8327734528203481,1.0045014282349416,0.9649185717650586,-0.60682833247821,0.014785714285714267,high,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
44,2000-03-02,00:00:00,0.9728,0.9793,0.9615,0.9633,0,50,,0.009548521017125111,1.0193,0.9733,1.005,0.9401,,,,,-0.02499999999999991,-0.0006017352614015764,1.0089,0.9401,-0.04519774011299422,0.02467822572066801,1.0089,0.9401,-0.04519774011299422,0.02467822572066801,1.0193,0.9401,-0.05493966447562057,0.02467822572066801,,,,,,,,,0.9680333333333332,0.9750991999999999,0,1,0,0,-1.2184451794662103,1.0051876821140957,0.9615823178859042,-0.9212168931178326,0.015342857142857118,high,2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
45,2000-03-03,00:00:00,0.963,0.9678,0.9577,0.9607,0,50,,-0.009765625,1.0096,0.9678,1.0011,0.9401,,,,,-0.02417470797359067,-0.000598086763070103,1.0089,0.9401,-0.047774804242243944,0.021912562493351717,1.0089,0.9401,-0.047774804242243944,0.021912562493351717,1.0096,0.9401,-0.04843502377179086,0.021912562493351717,,,,,,,,,0.9620666666666667,0.9654164,0,2,0,0,-1.1337064447576755,1.006259581395775,0.958180418604225,-0.8951902593691561,0.015064285714285688,high,2.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
46,2000-03-06,00:00:00,0.9567,0.9672,0.9559,0.9579,0,50,,-0.0023883696780893082,1.0096,0.9672,1.0011,0.9401,,,,,-0.030269285280421165,-0.0006021802002224902,1.0089,0.9401,-0.05055010407374362,0.01893415594085728,1.0089,0.9401,-0.05055010407374362,0.01893415594085728,1.0096,0.9401,-0.051208399366085657,0.01893415594085728,,,,,,,,,0.9603333333333333,0.9645332,1,0,0,0,-1.0597082796747945,1.0074609952745026,0.9546790047254972,-0.8779509405025842,0.015164285714285686,high,2.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
47,2000-03-07,00:00:00,0.9579,0.9624,0.9525,0.9585,0,50,,0.0012543116964565115,1.0089,0.9624,1.0011,0.9401,,,,,-0.045223627851379566,-0.0006212013348165014,1.0089,0.9401,-0.04995539696699365,0.019572385916391842,1.0089,0.9401,-0.04995539696699365,0.019572385916391842,1.0089,0.9401,-0.04995539696699365,0.019572385916391842,,,,,,,,,0.9578000000000001,0.9600636,2,0,0,0,-0.8774236309490075,1.0078231876609036,0.9515768123390964,-0.7538263265812342,0.015242857142857114,high,2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
48,2000-03-08,00:00:00,0.9583,0.9631,0.9521,0.9615,0,50,,0.0006263701847792902,1.0089,0.9624,1.0011,0.9401,,,,,-0.041948983658828265,-0.0006080756395995761,1.0042,0.9401,-0.04252141007767373,0.022763535794064434,1.0089,0.9401,-0.04698186143324402,0.022763535794064434,1.0089,0.9401,-0.04698186143324402,0.022763535794064434,,,,,,,,,0.9589,0.9605039999999999,3,0,0,0,-0.5849499652032963,1.0065729302484647,0.9496370697515354,-0.583287905786815,0.015164285714285686,high,3.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
49,2000-03-09,00:00:00,0.9614,0.9698,0.9595,0.9673,0,50,,0.003339246582489741,1.0089,0.9624,1.0011,0.9401,,,,,-0.02401372212692965,-0.0006237152391546415,0.993,0.9401,-0.025881168177240628,0.028933092224231464,1.0089,0.9401,-0.04123302606799471,0.028933092224231464,1.0089,0.9401,-0.04123302606799471,0.028933092224231464,,,,,,,,,0.9655333333333335,0.9673692,4,0,0,0,0.37297254104196514,1.00586364126764,0.9485563587323601,-0.34585480992034084,0.015235714285714257,high,4.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
50,2000-03-10,00:00:00,0.9673,0.969,0.9599,0.9639,0,50,,0.006136883711254537,1.0089,0.9624,1.0011,0.9401,,,,,-0.010978863123332738,-0.0007437152391546362,0.9872,0.9401,-0.023602106969205824,0.02531645569620246,1.0089,0.9401,-0.04460303300624436,0.02531645569620246,1.0089,0.9401,-0.04460303300624436,0.02531645569620246,1.0415,0.9401,-0.07450792126740288,0.02531645569620246,,,,,0.9642666666666667,0.9668524,0,1,1,1,-0.022341757373915774,1.0047190820922485,0.9472509179077515,-0.42058067282683415,0.015557142857142825,high,4.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
51,2000-03-13,00:00:00,0.9627,0.973,0.9616,0.9645,0,50,,-0.0035149384885765356,1.0089,0.9624,1.0011,0.9401,,,,,-0.006489493201483287,-0.0008811568409343869,0.9872,0.9521,-0.022994327390599617,0.013023842033399935,1.0089,0.9401,-0.04400832589949439,0.025954685671737025,1.0089,0.9401,-0.04400832589949439,0.025954685671737025,1.0415,0.9401,-0.07393182909265489,0.025954685671737025,,,,,0.9663666666666667,0.9703096,1,0,0,0,0.25897072662602044,1.0044401403791197,0.9461298596208804,-0.36991760251672245,0.014892857142857112,high,4.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
