id,timestamp,time,open,high,low,close,volume,spread
1,2000-02-01,00:00:00,0.9711,1.0089,0.9401,0.9635,,
2,2000-03-01,00:00:00,0.9635,0.9793,0.9478,0.9552,,
3,2000-04-01,00:00:00,0.9562,0.9749,0.903,0.9117,,
4,2000-05-01,00:00:00,0.912,0.9412,0.8844,0.937,,
5,2000-06-01,00:00:00,0.937,0.97,0.9284,0.9523,,
6,2000-07-01,00:00:00,0.9524,0.9599,0.9192,0.9266,,
7,2000-08-01,00:00:00,0.9267,0.9293,0.8841,0.8886,,
8,2000-09-01,00:00:00,0.8886,0.904,0.8439,0.8842,,
9,2000-10-01,00:00:00,0.8841,0.8858,0.8227,0.8484,,
10,2000-11-01,00:00:00,0.8488,0.8796,0.8372,0.8724,,
11,2000-12-01,00:00:00,0.8727,0.943,0.8701,0.9424,,
12,2001-01-01,00:00:00,0.9421,0.9596,0.9115,0.9377,,
13,2001-02-01,00:00:00,0.9376,0.9445,0.9014,0.9235,,
14,2001-03-01,00:00:00,0.9234,0.9382,0.8749,0.8755,,
15,2001-04-01,00:00:00,0.8743,0.9093,0.8706,0.8892,,
16,2001-05-01,00:00:00,0.8893,0.9009,0.8439,0.8446,,
17,2001-06-01,00:00:00,0.8455,0.8674,0.841,0.8497,,
18,2001-07-01,00:00:00,0.8503,0.8825,0.8346,0.8763,,
19,2001-08-01,00:00:00,0.8762,0.9241,0.8737,0.9125,,
20,2001-09-01,00:00:00,0.9094,0.9335,0.8824,0.9114,,
21,2001-10-01,00:00:00,0.9103,0.9246,0.8867,0.9002,,
22,2001-11-01,00:00:00,0.9003,0.9121,0.8735,0.8956,,
23,2001-12-01,00:00:00,0.8956,0.9083,0.8741,0.8896,,
24,2002-01-01,00:00:00,0.8897,0.9069,0.857,0.8592,,
25,2002-02-01,00:00:00,0.8593,0.8803,0.8562,0.8695,,
26,2002-03-01,00:00:00,0.8693,0.887,0.8629,0.8719,,
27,2002-04-01,00:00:00,0.8716,0.9049,0.8714,0.9005,,
28,2002-05-01,00:00:00,0.9005,0.9416,0.899,0.9337,,
29,2002-06-01,00:00:00,0.933,0.9992,0.9302,0.9911,,
30,2002-07-01,00:00:00,0.9914,1.021,0.9714,0.9774,,
31,2002-08-01,00:00:00,0.9772,0.9919,0.9621,0.9815,,
32,2002-09-01,00:00:00,0.9824,0.9993,0.9608,0.9865,,
33,2002-10-01,00:00:00,0.9866,0.9931,0.9687,0.9906,,
34,2002-11-01,00:00:00,0.9904,1.0173,0.9877,0.9938,,
35,2002-12-01,00:00:00,0.9928,1.0507,0.986,1.0489,,
36,2003-01-01,00:00:00,1.0492,1.091,1.0335,1.0771,,
37,2003-02-01,00:00:00,1.0789,1.0938,1.0664,1.0806,,
38,2003-03-01,00:00:00,1.0779,1.1087,1.0502,1.0922,,
39,2003-04-01,00:00:00,1.0916,1.1191,1.0559,1.1183,,
40,2003-05-01,00:00:00,1.1182,1.1931,1.1154,1.1785,,
41,2003-06-01,00:00:00,1.172,1.1932,1.1399,1.1524,,
42,2003-07-01,00:00:00,1.1523,1.1613,1.1112,1.1233,,
43,2003-08-01,00:00:00,1.1234,1.143,1.0788,1.0985,,
44,2003-09-01,00:00:00,1.099,1.1739,1.0762,1.1658,,
45,2003-10-01,00:00:00,1.1653,1.1865,1.1531,1.1586,,
46,2003-11-01,00:00:00,1.1582,1.2019,1.1376,1.1998,,
47,2003-12-01,00:00:00,1.1988,1.2649,1.1935,1.2588,,
48,2004-01-01,00:00:00,1.2592,1.2901,1.2333,1.2467,,
49,2004-02-01,00:00:00,1.2481,1.293,1.2371,1.2495,,
50,2004-03-01,00:00:00,1.2481,1.2544,1.2046,1.2316,,
51,2004-04-01,00:00:00,1.2314,1.2391,1.1759,1.1986,,
52,2004-05-01,00:00:00,1.1996,1.23,1.177,1.2192,,
53,2004-06-01,00:00:00,1.2197,1.2356,1.1953,1.2186,,
54,2004-07-01,00:00:00,1.2188,1.2464,1.199,1.2019,,
55,2004-08-01,00:00:00,1.2069,1.2391,1.1968,1.2182,,
56,2004-09-01,00:00:00,1.2181,1.2446,1.2026,1.2428,,
57,2004-10-01,00:00:00,1.2429,1.2844,1.2224,1.2787,,
58,2004-11-01,00:00:00,1.2818,1.3336,1.2655,1.3289,,
59,2004-12-01,00:00:00,1.3289,1.367,1.3139,1.3562,,
60,2005-01-01,00:00:00,1.3562,1.3581,1.2922,1.3045,,
61,2005-02-01,00:00:00,1.3046,1.328,1.2732,1.3215,,
62,2005-03-01,00:00:00,1.3216,1.3483,1.2856,1.2965,,
63,2005-04-01,00:00:00,1.2962,1.3127,1.2767,1.2874,,
64,2005-05-01,00:00:00,1.2862,1.2993,1.2294,1.2308,,
65,2005-06-01,00:00:00,1.2308,1.2356,1.1982,1.2094,,
66,2005-07-01,00:00:00,1.2091,1.2259,1.1865,1.2123,,
67,2005-08-01,00:00:00,1.2123,1.2489,1.2117,1.2342,,
68,2005-09-01,00:00:00,1.2341,1.2591,1.1978,1.2064,,
69,2005-10-01,00:00:00,1.202,1.2209,1.1875,1.1984,,
70,2005-11-01,00:00:00,1.1983,1.2085,1.1638,1.179,,
71,2005-12-01,00:00:00,1.179,1.2064,1.166,1.1839,,
72,2006-01-01,00:00:00,1.1849,1.2324,1.1801,1.2148,,
73,2006-02-01,00:00:00,1.2141,1.2167,1.1825,1.1931,,
74,2006-03-01,00:00:00,1.1929,1.2209,1.1859,1.2116,,
75,2006-04-01,00:00:00,1.2119,1.2643,1.2031,1.2635,,
76,2006-05-01,00:00:00,1.2629,1.2973,1.2555,1.2817,,
77,2006-06-01,00:00:00,1.2817,1.2981,1.2478,1.279,,
78,2006-07-01,00:00:00,1.2788,1.2864,1.2457,1.2767,,
79,2006-08-01,00:00:00,1.2769,1.2942,1.2694,1.2806,,
80,2006-09-01,00:00:00,1.2809,1.2877,1.2629,1.2673,,
