date,dtwexbgs,exy,dxy_exy_ratio,exy_dxy_ratio,dxy_exy_spread,dxy_exy_momentum,exy_dxy_momentum
2014-05-02,93.8182,72.12925562608193,1.3006955248000003,0.7688194361657111,21.688944373918076,9.321943491058526e-05,-9.321074585766365e-05
2014-05-05,93.7334,72.02535292422932,1.3013945256000001,0.7684064903676738,21.70804707577068,-0.00017425774491552914,0.00017428811596964522
2014-05-06,93.4324,71.81844297615628,1.3009527376,0.7686674320273938,21.613957023843724,-0.0015849128306461013,0.001587428766866461
2014-05-07,93.4337,71.85456635769202,1.3003168029000003,0.7690433575646904,21.57913364230798,-0.0022416184371448766,0.0022466545794721515
2014-05-08,93.3686,72.12925562608193,1.2944622704000002,0.772521550350781,21.239344373918073,-0.0030015308489295123,0.003010567159130506
2014-05-09,93.6614,72.65857734505558,1.2890618482000002,0.7757579680108944,21.002822654944424,-0.010126255663326478,0.010229845696243078
2014-05-12,93.6537,72.67441860465117,1.288674912,0.77599089629829,20.979281395348835,-0.010010013736623025,0.010111227260393596
2014-05-13,93.6755,72.93414047115455,1.2843847805,0.7785828788867372,20.74135952884545,-0.012540017236169376,0.012699266253879626
2014-05-14,93.5968,72.89692374981776,1.2839609024,0.7788399149310421,20.699876250182243,-0.01339610921750456,0.013578001610027979
2014-05-15,93.7065,72.92882147024504,1.284903528,0.7782685456211152,20.777678529754965,-0.012336504729301367,0.012490595013760375
2014-05-16,93.6073,72.95010213014298,1.2831688684,0.7793206526643006,20.657197869857015,-0.013187505123179566,0.01336373950638503
2014-05-19,93.502,72.90755322251385,1.282473432,0.779743248513549,20.59444677748614,-0.009261636027673159,0.00934821579992029
2014-05-20,93.6699,72.98204641658151,1.2834649698000002,0.7791408597274205,20.687853583418487,-0.004341823014788027,0.00436075664836566
2014-05-21,93.7629,73.22252324815113,1.2805199253,0.7809327916281508,20.540376751848868,-0.006328195438633721,0.006368496529321588
2014-05-22,93.6944,73.2493407559332,1.2791159488,0.781789954959242,20.445059244066798,-0.004102222153355761,0.00411911969743084
2014-05-23,93.7042,73.37833871441151,1.2770008376,0.7830848426688612,20.325861285588488,-0.005420776276746642,0.0054503212488730135
2014-05-26,93.7042,73.37833871441151,1.2770008376,0.7830848426688612,20.325861285588488,-0.006150415364102102,0.006188477068544751
2014-05-27,93.8418,73.4322220590395,1.2779376324000002,0.782510800720356,20.409577940960503,-0.004076810253760832,0.0040934986711169685
2014-05-28,93.8793,73.55104442483083,1.2763829628,0.7834639204258109,20.328255575169166,-0.0047490022389796716,0.004771662876664529
2014-05-29,93.6973,73.48618459729572,1.2750328584,0.7842935132313922,20.21111540270428,-0.006569802525513646,0.006613250273864946
2014-05-30,93.7606,73.31378299120233,1.2788945840000001,0.7819252755550021,20.446817008797666,-0.0012692823187573365,0.0012708954438731546
2014-06-02,94.0006,73.49698662354844,1.2789721636,0.7818778457110745,20.50361337645157,-0.00011240982503168961,0.00011242246242115783
