id,timestamp,time,open,high,low,close,volume,spread
1,1990-01-02,00:00:00,,,,,,
2,1990-01-03,00:00:00,,,,,,
3,1990-01-04,00:00:00,,,,,,
4,1990-01-05,00:00:00,,,,,,
5,1990-01-08,00:00:00,,,,,,
6,1990-01-09,00:00:00,,,,,,
7,1990-01-10,00:00:00,,,,,,
8,1990-01-11,00:00:00,,,,,,
9,1990-01-12,00:00:00,,,,,,
10,1990-01-15,00:00:00,,,,,,
11,1990-01-16,00:00:00,,,,,,
12,1990-01-17,00:00:00,,,,,,
13,1990-01-18,00:00:00,,,,,,
14,1990-01-19,00:00:00,,,,,,
15,1990-01-22,00:00:00,,,,,,
16,1990-01-23,00:00:00,,,,,,
17,1990-01-24,00:00:00,,,,,,
18,1990-01-25,00:00:00,,,,,,
19,1990-01-26,00:00:00,,,,,,
20,1990-01-29,00:00:00,,,,,,
21,1990-01-30,00:00:00,,,,,,
22,1990-01-31,00:00:00,,,,,,
23,1990-02-01,00:00:00,,,,,,
24,1990-02-02,00:00:00,,,,,,
25,1990-02-05,00:00:00,,,,,,
26,1990-02-06,00:00:00,,,,,,
27,1990-02-07,00:00:00,,,,,,
28,1990-02-08,00:00:00,,,,,,
29,1990-02-09,00:00:00,,,,,,
30,1990-02-12,00:00:00,,,,,,
31,1990-02-13,00:00:00,,,,,,
32,1990-02-14,00:00:00,,,,,,
33,1990-02-15,00:00:00,,,,,,
34,1990-02-16,00:00:00,,,,,,
35,1990-02-20,00:00:00,,,,,,
36,1990-02-21,00:00:00,,,,,,
37,1990-02-22,00:00:00,,,,,,
38,1990-02-23,00:00:00,,,,,,
39,1990-02-26,00:00:00,,,,,,
40,1990-02-27,00:00:00,,,,,,
41,1990-02-28,00:00:00,,,,,,
42,1990-03-01,00:00:00,,,,,,
43,1990-03-02,00:00:00,,,,,,
44,1990-03-05,00:00:00,,,,,,
45,1990-03-06,00:00:00,,,,,,
46,1990-03-07,00:00:00,,,,,,
47,1990-03-08,00:00:00,,,,,,
48,1990-03-09,00:00:00,,,,,,
49,1990-03-12,00:00:00,,,,,,
50,1990-03-13,00:00:00,,,,,,
51,1990-03-14,00:00:00,,,,,,
52,1990-03-15,00:00:00,,,,,,
53,1990-03-16,00:00:00,,,,,,
54,1990-03-19,00:00:00,,,,,,
55,1990-03-20,00:00:00,,,,,,
56,1990-03-21,00:00:00,,,,,,
57,1990-03-22,00:00:00,,,,,,
58,1990-03-23,00:00:00,,,,,,
59,1990-03-26,00:00:00,,,,,,
60,1990-03-27,00:00:00,,,,,,
61,1990-03-28,00:00:00,,,,,,
62,1990-03-29,00:00:00,,,,,,
63,1990-03-30,00:00:00,,,,,,
64,1990-04-02,00:00:00,,,,,,
65,1990-04-03,00:00:00,,,,,,
66,1990-04-04,00:00:00,,,,,,
67,1990-04-05,00:00:00,,,,,,
68,1990-04-06,00:00:00,,,,,,
69,1990-04-09,00:00:00,,,,,,
70,1990-04-10,00:00:00,,,,,,
71,1990-04-11,00:00:00,,,,,,
72,1990-04-12,00:00:00,,,,,,
73,1990-04-16,00:00:00,,,,,,
74,1990-04-17,00:00:00,,,,,,
75,1990-04-18,00:00:00,,,,,,
76,1990-04-19,00:00:00,,,,,,
77,1990-04-20,00:00:00,,,,,,
78,1990-04-23,00:00:00,,,,,,
79,1990-04-24,00:00:00,,,,,,
80,1990-04-25,00:00:00,,,,,,
81,1990-04-26,00:00:00,,,,,,
82,1990-04-27,00:00:00,,,,,,
83,1990-04-30,00:00:00,,,,,,
84,1990-05-01,00:00:00,,,,,,
85,1990-05-02,00:00:00,,,,,,
86,1990-05-03,00:00:00,,,,,,
87,1990-05-04,00:00:00,,,,,,
88,1990-05-07,00:00:00,,,,,,
89,1990-05-08,00:00:00,,,,,,
90,1990-05-09,00:00:00,,,,,,
91,1990-05-10,00:00:00,,,,,,
92,1990-05-11,00:00:00,,,,,,
93,1990-05-14,00:00:00,,,,,,
94,1990-05-15,00:00:00,,,,,,
95,1990-05-16,00:00:00,,,,,,
