id,timestamp,time,open,high,low,close,volume,spread
1,1999-01-04,00:00:00,,,,,,
2,1999-01-05,00:00:00,,,,,,
3,1999-01-06,00:00:00,,,,,,
4,1999-01-07,00:00:00,,,,,,
5,1999-01-08,00:00:00,,,,,,
6,1999-01-11,00:00:00,,,,,,
7,1999-01-12,00:00:00,,,,,,
8,1999-01-13,00:00:00,,,,,,
9,1999-01-14,00:00:00,,,,,,
10,1999-01-15,00:00:00,,,,,,
11,1999-01-19,00:00:00,,,,,,
12,1999-01-20,00:00:00,,,,,,
13,1999-01-21,00:00:00,,,,,,
14,1999-01-22,00:00:00,,,,,,
15,1999-01-25,00:00:00,,,,,,
16,1999-01-26,00:00:00,,,,,,
17,1999-01-27,00:00:00,,,,,,
18,1999-01-28,00:00:00,,,,,,
19,1999-01-29,00:00:00,,,,,,
20,1999-02-01,00:00:00,,,,,,
21,1999-02-02,00:00:00,,,,,,
22,1999-02-03,00:00:00,,,,,,
23,1999-02-04,00:00:00,,,,,,
24,1999-02-05,00:00:00,,,,,,
25,1999-02-08,00:00:00,,,,,,
26,1999-02-09,00:00:00,,,,,,
27,1999-02-10,00:00:00,,,,,,
28,1999-02-11,00:00:00,,,,,,
29,1999-02-12,00:00:00,,,,,,
30,1999-02-16,00:00:00,,,,,,
31,1999-02-17,00:00:00,,,,,,
32,1999-02-18,00:00:00,,,,,,
33,1999-02-19,00:00:00,,,,,,
34,1999-02-22,00:00:00,,,,,,
35,1999-02-23,00:00:00,,,,,,
36,1999-02-24,00:00:00,,,,,,
37,1999-02-25,00:00:00,,,,,,
38,1999-02-26,00:00:00,,,,,,
39,1999-03-01,00:00:00,,,,,,
40,1999-03-02,00:00:00,,,,,,
41,1999-03-03,00:00:00,,,,,,
42,1999-03-04,00:00:00,,,,,,
43,1999-03-05,00:00:00,,,,,,
44,1999-03-08,00:00:00,,,,,,
45,1999-03-09,00:00:00,,,,,,
46,1999-03-10,00:00:00,,,,,,
47,1999-03-11,00:00:00,,,,,,
48,1999-03-12,00:00:00,,,,,,
49,1999-03-15,00:00:00,,,,,,
50,1999-03-16,00:00:00,,,,,,
51,1999-03-17,00:00:00,,,,,,
52,1999-03-18,00:00:00,,,,,,
53,1999-03-19,00:00:00,,,,,,
54,1999-03-22,00:00:00,,,,,,
55,1999-03-23,00:00:00,,,,,,
56,1999-03-24,00:00:00,,,,,,
57,1999-03-25,00:00:00,,,,,,
58,1999-03-26,00:00:00,,,,,,
59,1999-03-29,00:00:00,,,,,,
60,1999-03-30,00:00:00,,,,,,
61,1999-03-31,00:00:00,,,,,,
62,1999-04-01,00:00:00,,,,,,
63,1999-04-02,00:00:00,,,,,,
64,1999-04-05,00:00:00,,,,,,
65,1999-04-06,00:00:00,,,,,,
66,1999-04-07,00:00:00,,,,,,
67,1999-04-08,00:00:00,,,,,,
68,1999-04-09,00:00:00,,,,,,
69,1999-04-12,00:00:00,,,,,,
70,1999-04-13,00:00:00,,,,,,
71,1999-04-14,00:00:00,,,,,,
72,1999-04-15,00:00:00,,,,,,
73,1999-04-16,00:00:00,,,,,,
74,1999-04-19,00:00:00,,,,,,
75,1999-04-20,00:00:00,,,,,,
76,1999-04-21,00:00:00,,,,,,
77,1999-04-22,00:00:00,,,,,,
78,1999-04-23,00:00:00,,,,,,
79,1999-04-26,00:00:00,,,,,,
80,1999-04-27,00:00:00,,,,,,
81,1999-04-28,00:00:00,,,,,,
82,1999-04-29,00:00:00,,,,,,
83,1999-04-30,00:00:00,,,,,,
84,1999-05-03,00:00:00,,,,,,
85,1999-05-04,00:00:00,,,,,,
86,1999-05-05,00:00:00,,,,,,
87,1999-05-06,00:00:00,,,,,,
88,1999-05-07,00:00:00,,,,,,
89,1999-05-10,00:00:00,,,,,,
90,1999-05-11,00:00:00,,,,,,
91,1999-05-12,00:00:00,,,,,,
92,1999-05-13,00:00:00,,,,,,
93,1999-05-14,00:00:00,,,,,,
94,1999-05-17,00:00:00,,,,,,
95,1999-05-18,00:00:00,,,,,,
96,1999-05-19,00:00:00,,,,,,
97,1999-05-20,00:00:00,,,,,,
98,1999-05-21,00:00:00,,,,,,
99,1999-05-24,00:00:00,,,,,,
100,1999-05-25,00:00:00,,,,,,
101,1999-05-26,00:00:00,,,,,,
102,1999-05-27,00:00:00,,,,,,
103,1999-05-28,00:00:00,,,,,,
104,1999-06-01,00:00:00,,,,,,
105,1999-06-02,00:00:00,,,,,,
106,1999-06-03,00:00:00,,,,,,
107,1999-06-04,00:00:00,,,,,,
108,1999-06-07,00:00:00,,,,,,
109,1999-06-08,00:00:00,,,,,,
110,1999-06-09,00:00:00,,,,,,
111,1999-06-10,00:00:00,,,,,,
112,1999-06-11,00:00:00,,,,,,
113,1999-06-14,00:00:00,,,,,,
