date,naexkp01ezq657s
2000-01-01,1.2028751807487
2000-04-01,0.907357491355821
2000-07-01,0.59149393095804
2000-10-01,0.63520363918775
2001-01-01,0.987240333447994
2001-04-01,0.101805658090931
2001-07-01,0.16365747957259
2001-10-01,0.0372375740834104
2002-01-01,0.140187538916919
2002-04-01,0.52092916271101
2002-07-01,0.426660468877314
2002-10-01,0.194247189932265
2003-01-01,-0.316725071424466
2003-04-01,0.0843683973883564
2003-07-01,0.585506482505735
2003-10-01,0.687901259644658
2004-01-01,0.508297586175076
2004-04-01,0.610661381053687
2004-07-01,0.251571156577334
2004-10-01,0.378979934856894
2005-01-01,0.206811659739866
2005-04-01,0.618772390851302
2005-07-01,0.759830773527826
2005-10-01,0.633853284625346
2006-01-01,0.86428425474959
2006-04-01,1.10469239238856
2006-07-01,0.621986685838222
2006-10-01,1.14636178851672
2007-01-01,0.617101232097722
2007-04-01,0.72454770636134
2007-07-01,0.447631351801817
2007-10-01,0.505261980883362
2008-01-01,0.52588826215446
2008-04-01,-0.342622975307663
2008-07-01,-0.520071213562738
2008-10-01,-1.82062689268324
2009-01-01,-3.11395021725846
2009-04-01,-0.0127859754864298
2009-07-01,0.379587908971952
2009-10-01,0.450220280241627
2010-01-01,0.415417800438136
2010-04-01,0.96748595696562
2010-07-01,0.426292383283646
2010-10-01,0.560610905219504
2011-01-01,0.910669902260657
2011-04-01,-0.00288704494056315
2011-07-01,0.144837791800661
2011-10-01,-0.41853294137391
2012-01-01,-0.228773793722808
2012-04-01,-0.261103426552051
2012-07-01,-0.0906938987556618
2012-10-01,-0.454839504793111
2013-01-01,-0.338393257938598
2013-04-01,0.521236178523841
2013-07-01,0.309354644362923
2013-10-01,0.293458810560032
2014-01-01,0.39978204169374
2014-04-01,0.199660360519484
2014-07-01,0.486064599648748
2014-10-01,0.347156585231289
2015-01-01,0.638117558049218
2015-04-01,0.471624831498578
2015-07-01,0.425826323138103
2015-10-01,0.452417722771633
2016-01-01,0.564671616035443
2016-04-01,0.217217314283704
2016-07-01,0.496804382464947
2016-10-01,0.761756216295885
2017-01-01,0.666859677404715
2017-04-01,0.794614557974587
2017-07-01,0.792831525740623
2017-10-01,0.801308217627709
2018-01-01,-0.0125033145821634
2018-04-01,0.542399508675368
2018-07-01,0.0282277282013508
2018-10-01,0.636342660414764
2019-01-01,0.629819809679818
2019-04-01,0.309171155236588
2019-07-01,0.235494445748991
2019-10-01,-0.0133116889385803
2020-01-01,-3.28070951167115
2020-04-01,-11.3954069102981
2020-07-01,12.1398618492122
2020-10-01,-0.193508416934292
2021-01-01,0.0435826405659414
2021-04-01,1.92675715790309
2021-07-01,2.20779341121115
2021-10-01,0.528188339866122
2022-01-01,0.731069855604274
2022-04-01,0.836875067015793
2022-07-01,0.360159415093656
2022-10-01,-0.110114956506938
2023-01-01,-0.091966655903616
