id,timestamp,date,time,open,high,low,close,volume,spread
1,2025-02-02,2025-02-02,00:00:00,1.043648,1.04684,1.03494,1.03612,0,2
2,2025-02-09,2025-02-09,00:00:00,1.02493,1.04446,1.02096,1.03276,0,2
3,2025-02-16,2025-02-16,00:00:00,1.0296,1.05146,1.02865,1.04912,0,2
4,2025-02-23,2025-02-23,00:00:00,1.048635,1.05069,1.04007,1.04609,0,2
5,2025-03-02,2025-03-02,00:00:00,1.04661,1.05294,1.03596,1.03773,0,2
6,2025-03-09,2025-03-09,00:00:00,1.040505,1.08895,1.03881,1.08333,0,2
7,2025-03-16,2025-03-16,00:00:00,1.08551,1.09479,1.0805,1.0879,0,2
8,2025-03-23,2025-03-23,00:00:00,1.08799,1.0955,1.07961,1.08144,0,2
9,2025-03-30,2025-03-30,00:00:00,1.08204,1.08589,1.07326,1.08268,0,2
10,2025-04-06,2025-04-06,00:00:00,1.08169,1.11383,1.07781,1.096251,0,2
11,2025-04-13,2025-04-13,00:00:00,1.098539,1.14732,1.089562,1.13379,0,2
12,2025-04-20,2025-04-20,00:00:00,1.13417,1.14247,1.12689,1.13935,0,2
13,2025-04-27,2025-04-27,00:00:00,1.14337,1.15739,1.13072,1.13652,0,2
14,2025-05-04,2025-05-04,00:00:00,1.13501,1.14193,1.12657,1.12936,0,2
15,2025-05-11,2025-05-11,00:00:00,1.13061,1.13817,1.11964,1.1245,0,2
16,2025-05-18,2025-05-18,00:00:00,1.12252,1.12663,1.1065,1.11611,0,2
17,2025-05-25,2025-05-25,00:00:00,1.11904,1.13767,1.11722,1.13603,0,2
18,2025-06-01,2025-06-01,00:00:00,1.13748,1.14193,1.12101,1.13457,0,2
19,2025-06-08,2025-06-08,00:00:00,1.13556,1.14955,1.13506,1.13957,0,2
20,2025-06-15,2025-06-15,00:00:00,1.14068,1.16328,1.13728,1.15471,0,2
21,2025-06-22,2025-06-22,00:00:00,1.15412,1.16153,1.14461,1.15233,0,2
22,2025-06-29,2025-06-29,00:00:00,1.14901,1.17541,1.14533,1.17165,0,2
23,2025-07-06,2025-07-06,00:00:00,1.17311,1.18306,1.1707,1.17702,0,2
24,2025-07-13,2025-07-13,00:00:00,1.17806,1.17902,1.16647,1.1688,0,2
25,2025-07-20,2025-07-20,00:00:00,1.16648,1.17227,1.15559,1.16207,0,2
26,2025-07-27,2025-07-27,00:00:00,1.16268,1.17885,1.16143,1.17409,0,2
27,2025-08-03,2025-08-03,00:00:00,1.17551,1.17701,1.13914,1.15904,0,2
28,2025-08-10,2025-08-10,00:00:00,1.15837,1.16989,1.15276,1.16401,0,2
29,2025-08-17,2025-08-17,00:00:00,1.16475,1.17311,1.15896,1.17013,0,2
30,2025-08-24,2025-08-24,00:00:00,1.17144,1.17432,1.15823,1.17152,0,2
31,2025-08-31,2025-08-31,00:00:00,1.17135,1.17215,1.15744,1.1683,0,2
32,2025-09-07,2025-09-07,00:00:00,1.16884,1.17596,1.1608,1.17108,0,2
33,2025-09-14,2025-09-14,00:00:00,1.1706,1.1781,1.16601,1.17328,0,2
34,2025-09-21,2025-09-21,00:00:00,1.17283,1.19183,1.17162,1.17442,0,2
35,2025-09-28,2025-09-28,00:00:00,1.17408,1.18198,1.16454,1.17009,0,2
36,2025-10-05,2025-10-05,00:00:00,1.17042,1.17786,1.16833,1.17423,0,2
37,2025-10-12,2025-10-12,00:00:00,1.17243,1.17307,1.15421,1.16131,0,2
38,2025-10-19,2025-10-19,00:00:00,1.15934,1.17283,1.15427,1.16508,0,2
39,2025-10-26,2025-10-26,00:00:00,1.16566,1.16754,1.15769,1.16246,0,2
40,2025-11-02,2025-11-02,00:00:00,1.16308,1.16681,1.15219,1.1535,0,2
41,2025-11-09,2025-11-09,00:00:00,1.15301,1.15912,1.14689,1.15661,0,2
42,2025-11-16,2025-11-16,00:00:00,1.15582,1.16553,1.15409,1.16154,0,2
43,2025-11-23,2025-11-23,00:00:00,1.1621,1.1625,1.1582,1.1588,0,2
