id,timestamp,date,time,open,high,low,close,volume,spread
1,2025-02-28,2025-02-28,00:00:00,2912.15991,2930.25,2851.13989,2856.5,0,2
2,2025-03-31,2025-03-31,00:00:00,2856.65991,3127.87988,2832.77002,3124.62988,0,2
3,2025-04-30,2025-04-30,00:00:00,3123.92993,3499.87,2956.90991,3309.06,0,2
4,2025-05-31,2025-05-31,00:00:00,3308.62,3440.4,3120.92,3291.8,0,2
5,2025-06-30,2025-06-30,00:00:00,3297.1,3458.1,3248.98,3284.80005,0,2
6,2025-07-31,2025-07-31,00:00:00,3285.32007,3437.79004,3279.31006,3311.19,0,2
7,2025-08-31,2025-08-31,00:00:00,3311.19,3466.73,3289.05,3463.81,0,2
8,2025-09-30,2025-09-30,00:00:00,3467.33,3880.69,3451.13,3836.49,0,2
9,2025-10-31,2025-10-31,00:00:00,3836.48,4530.0,3600.0,4020.82,0,2
10,2025-11-30,2025-11-30,00:00:00,4020.81,4244.30211,3918.0,4034.81997,0,2
